MsgNum, Byte, GRIB-Version, elem, level, reference(UTC), valid(UTC), Proj(hr)
1.0, 0, 2, HGT="Geopotential height [gpm]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
2.0, 798086, 2, TMP="Temperature [K]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
3.0, 1344027, 2, RH="Relative humidity [%]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
4.0, 1518785, 2, DPT="Dew point temperature [K]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
5.0, 1518973, 2, SPFH="Specific humidity [kg/kg]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
6.0, 3069605, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
7.0, 3484594, 2, UGRD="u-component of wind [m/s]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
8.0, 4052281, 2, VGRD="v-component of wind [m/s]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
9.0, 4609840, 2, ABSV="Absolute vorticity [1/s]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
10.0, 5186916, 2, CLWMR="Cloud mixing ratio [kg/kg]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
11.0, 5187104, 2, CIMIXR="Cloud Ice Mixing Ratio [kg/kg]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
12.0, 5187292, 2, RWMR="Rain mixing ratio [kg/kg]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
13.0, 5187480, 2, SNMR="Snow mixing ratio [kg/kg]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
14.0, 5187668, 2, GRLE="Graupel (snow pellets) [kg/kg]", 5000-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
15.0, 5187856, 2, HGT="Geopotential height [gpm]", 7500-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
16.0, 5969974, 2, TMP="Temperature [K]", 7500-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
17.0, 6533378, 2, RH="Relative humidity [%]", 7500-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
18.0, 6908290, 2, DPT="Dew point temperature [K]", 7500-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
19.0, 6908535, 2, SPFH="Specific humidity [kg/kg]", 7500-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
20.0, 7904345, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 7500-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
21.0, 8247106, 2, UGRD="u-component of wind [m/s]", 7500-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
22.0, 8834177, 2, VGRD="v-component of wind [m/s]", 7500-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
23.0, 9404552, 2, ABSV="Absolute vorticity [1/s]", 7500-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
24.0, 10023445, 2, CLWMR="Cloud mixing ratio [kg/kg]", 7500-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
25.0, 10023633, 2, CIMIXR="Cloud Ice Mixing Ratio [kg/kg]", 7500-ISBL, 04/08/2022 00:00, 04/08/2022 00:00, 0.00
