MsgNum, Byte, GRIB-Version, elem, level, reference(UTC), valid(UTC), Proj(hr)
1.0, 0, 2, PRMSL="Pressure reduced to MSL [Pa]", 0-MSL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
2.0, 2479526, 2, REFD="Derived radar reflectivity [dB]", 263-TMPL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
3.0, 2965747, 2, PRES="Pressure [Pa]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
4.0, 5352769, 2, CLWMR="Cloud mixing ratio [kg/kg]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
5.0, 5618732, 2, CICE="Cloud Ice [kg/(m^2)]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
6.0, 5865267, 2, RWMR="Rain mixing ratio [kg/kg]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
7.0, 6195161, 2, SNMR="Snow mixing ratio [kg/kg]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
8.0, 6464030, 2, REFD="Derived radar reflectivity [dB]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
9.0, 7071603, 2, TCOND="Total Condensate [kg/kg]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
10.0, 7365816, 2, RIME="Rime Factor [-]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
11.0, 7666372, 2, HGT="Geopotential height [gpm]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
12.0, 9081858, 2, TMP="Temperature [K]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
13.0, 11071479, 2, RH="Relative humidity [%]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
14.0, 13714902, 2, SPFH="Specific humidity [kg/kg]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
15.0, 16483815, 2, UGRD="u-component of wind [m/s]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
15.1, 16483815, 2, VGRD="v-component of wind [m/s]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
16.0, 20404712, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
17.0, 22758539, 2, TKE="Turbulent kinetic energy [J/kg]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
18.0, 23799450, 2, UGRD="u-component of wind [m/s]", 2-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
18.1, 23799450, 2, VGRD="v-component of wind [m/s]", 2-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
19.0, 27705777, 2, TKE="Turbulent kinetic energy [J/kg]", 2-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
20.0, 28736404, 2, REFC="Maximum / Composite radar reflectivity [dB]", 0-EATM, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
21.0, 29920288, 2, VERIL="Vertically-integrated liquid [kg/m]", 0-EATM, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
22.0, 30319322, 2, VIS="Visibility [m]", 0-SFC, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
23.0, 30731709, 2, VIS="Visibility [m]", 0-CTL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
24.0, 32296457, 2, BMIXL="Blackadar's Mixing Length Scale [m]", 1-HYBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
25.0, 32534819, 2, HGT="Geopotential height [gpm]", 0-RESERVED(220), 02/05/2023 00:00, 02/05/2023 01:00, 1.00
26.0, 35599682, 2, UGRD="u-component of wind [m/s]", 0-RESERVED(220), 02/05/2023 00:00, 02/05/2023 01:00, 1.00
26.1, 35599682, 2, VGRD="v-component of wind [m/s]", 0-RESERVED(220), 02/05/2023 00:00, 02/05/2023 01:00, 1.00
27.0, 38584552, 2, VRATE="Ventilation Rate [m^2/s]", 0-RESERVED(220), 02/05/2023 00:00, 02/05/2023 01:00, 1.00
28.0, 39843239, 2, GUST="Wind speed (gust) [m/s]", 0-SFC, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
29.0, 41345117, 2, RETOP="Radar Echo Top (18.3 DBZ) [m]", 0-EATM, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
30.0, 41742554, 2, HGT="Geopotential height [gpm]", 1000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
31.0, 43817357, 2, TMP="Temperature [K]", 1000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
32.0, 44801566, 2, RH="Relative humidity [%]", 1000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
33.0, 45387496, 2, SPFH="Specific humidity [kg/kg]", 1000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
34.0, 46890788, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 1000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
35.0, 48682506, 2, DZDT="Verical velocity (geometric) [m/s]", 1000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
36.0, 49078678, 2, UGRD="u-component of wind [m/s]", 1000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
36.1, 49078678, 2, VGRD="v-component of wind [m/s]", 1000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
37.0, 51437047, 2, HGT="Geopotential height [gpm]", 2000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
38.0, 53428663, 2, TMP="Temperature [K]", 2000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
39.0, 54109633, 2, RH="Relative humidity [%]", 2000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
40.0, 54679091, 2, SPFH="Specific humidity [kg/kg]", 2000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
41.0, 56233731, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 2000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
